delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beeb.started,sound_1.started,sound_1.stopped,beeb.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,exp,0,0,0,space,0.9448523999890313,None,200,1,[2.0327887999883387],[2.0327988999779336],0,0,0,9,0.05407719998038374,,0.03457930000149645,0.05407719998038374,1.003445099981036,1.003445099981036,1.053562899993267,1.999768599984236,space,0.9448523999890313,None,2.000216599990381,2.1050513666452995,2.420405499986373,2.403043600003002,2.4036306999914814,2.420405499986373,2.420405499986373,2.420405499986373,4.453636099991854,200,1,[2.0327887999883387],[2.0327988999779336],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.7,1000,exp,1,1,0,space,0.3272309000021778,None,300,1,[2.1164911999949254],[2.116497899987735],0,1,1,5,4.4694975999882445,,4.453860299981898,4.4694975999882445,5.469039799994789,5.469039799994789,5.469039799994789,5.803137599985348,space,0.3272309000021778,None,5.803657499986002,6.51843346664488,6.82665599999018,6.819061599991983,6.819363499991596,6.82665599999018,6.82665599999018,6.82665599999018,8.943610499991337,300,1,[2.1164911999949254],[2.116497899987735],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.1,1000,exp,2,2,0,space,0.5605155999946874,None,100,1,[1.8676065000181552],[1.867614400020102],0,2,2,6,8.959266999998363,,8.943843299988657,8.959266999998363,9.95860499999253,9.95860499999253,9.95860499999253,10.525650600000517,space,0.5605155999946874,None,10.526083999982802,10.625029966646496,10.933924799988745,10.925698899984127,10.926035699987551,10.933924799988745,10.933924799988745,10.933924799988745,12.802026899997145,100,1,[1.8676065000181552],[1.867614400020102],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.4,1000,exp,3,3,0,space,0.32694810000248253,None,200,1,[1.4668376999907196],[1.4668470000033267],0,3,3,10,12.817648700001882,,12.802248799998779,12.817648700001882,13.817890999984229,13.817890999984229,13.817890999984229,14.150832799990894,space,0.32694810000248253,None,14.151339200005168,14.550300966661114,14.864813199994387,14.85101250000298,14.85135429998627,14.864813199994387,14.864813199994387,14.864813199994387,16.332112799980678,200,1,[1.4668376999907196],[1.4668470000033267],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.7,400,unexp,4,4,0,space,3.2966594000172336,None,100,1,[1.7345479000068735],[1.7345544999989215],0,4,4,2,16.347771500004455,,16.332290399994235,16.347771500004455,17.347167400002945,17.347167400002945,17.347167400002945,20.646146199986106,space,3.2966594000172336,None,20.646580699976766,21.345417466658787,21.654146799992304,21.645856399991317,21.646210699982475,21.654146799992304,21.654146799992304,21.654146799992304,23.38917389998096,100,1,[1.7345479000068735],[1.7345544999989215],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.1,400,unexp,5,5,0,space,2.0018633999861777,None,200,1,[4.232360699999845],[4.232370700017782],0,5,5,0,23.404909799981397,,23.389389799995115,23.404909799981397,24.40422729999409,24.40422729999409,24.40422729999409,26.420831099996576,space,2.0018633999861777,None,26.421420200000284,26.51988526666925,26.834722200001124,26.81898059998639,26.819278099981602,26.834722200001124,26.834722200001124,26.834722200001124,31.06748929998139,200,1,[4.232360699999845],[4.232370700017782],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.7,1000,exp,6,6,0,space,0.21206360001815483,None,200,1,[1.5332702999876346],[1.533276099973591],0,6,6,11,31.083053799986374,,31.067682099994272,31.083053799986374,32.082506299979286,32.082506299979286,32.082506299979286,32.29968070000177,space,0.21206360001815483,None,32.30014469998423,32.99877546666927,33.30215189998853,33.293677199981175,33.29397639998933,33.30215189998853,33.30215189998853,33.30215189998853,34.835863799991785,200,1,[1.5332702999876346],[1.533276099973591],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.4,1000,exp,7,7,0,space,0.5919324000133201,None,100,1,[1.667113600007724],[1.6671196999959648],0,7,7,4,34.85162869998021,,34.83605349998106,34.85162869998021,35.850953599991044,35.850953599991044,35.850953599991044,36.45134440000402,space,0.5919324000133201,None,36.451775599998655,36.85112366665659,37.160111499979394,37.15162899999996,37.15193329998874,37.160111499979394,37.160111499979394,37.160111499979394,38.82766869998886,100,1,[1.667113600007724],[1.6671196999959648],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.4,400,unexp,8,8,0,space,0.4467714999918826,None,200,1,[1.5830085000197869],[1.5830142000049818],0,8,8,1,38.8434328000003,,38.82788729999447,38.8434328000003,39.842790499998955,39.842790499998955,39.842790499998955,40.29303939998499,space,0.4467714999918826,None,40.29374619998271,40.69222456665399,41.0071767999907,40.995092700002715,40.99540230000275,41.0071767999907,41.0071767999907,41.0071767999907,42.59066200000234,200,1,[1.5830085000197869],[1.5830142000049818],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
0.4,1000,exp,9,9,0,space,0.47332870002719574,None,200,1,[1.4997399999992922],[1.499745500012068],0,9,9,7,42.60662209999282,,42.59086689999094,42.60662209999282,43.6060319999815,43.6060319999815,43.6060319999815,44.08970499999123,space,0.47332870002719574,None,44.09015429997817,44.48899696665855,44.81392899999628,44.79241229998297,44.79274259999511,44.81392899999628,44.81392899999628,44.81392899999628,46.31412189998082,200,1,[1.4997399999992922],[1.499745500012068],Dhiraj 3,001,2024-11-08_14h44.03.359,Intentional binding,2024.2.2,59.64615514901056,2024-11-08 14h44.16.103476 +0530,
