delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beeb.started,sound_1.started,sound_1.stopped,beeb.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,1000,exp,0,0,0,space,0.2605782000173349,None,200,1,[2.4531101000029594],[2.4531157000164967],0,0,0,7,0.05629159999080002,,0.03883880001376383,0.05629159999080002,1.0058940000017174,1.0058940000017174,1.056088000012096,1.3545839000144042,space,0.2605782000173349,None,1.3551376000104938,1.7639276666780157,2.0886893999995664,2.065179299999727,2.065859199996339,2.0886893999995664,2.0886893999995664,2.0886893999995664,4.5423169000132475,200,1,[2.4531101000029594],[2.4531157000164967],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.1,400,unexp,1,1,0,space,0.2870958999847062,None,100,1,[1.3686223000113387],[1.368630300014047],0,1,1,0,4.557858999993186,,4.542510400002357,4.557858999993186,5.5573861000011675,5.5573861000011675,5.5573861000011675,5.857919800007949,space,0.2870958999847062,None,5.858391899993876,5.957192866659413,6.2688188000174705,6.257155300001614,6.257499200000893,6.2688188000174705,6.2688188000174705,6.2688188000174705,7.637988800008316,100,1,[1.3686223000113387],[1.368630300014047],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.4,1000,exp,2,2,0,space,0.6712661999918055,None,300,1,[1.1482046000019182],[1.148212300002342],0,2,2,4,7.653175300016301,,7.638180800015107,7.653175300016301,8.652699400001438,8.652699400001438,8.652699400001438,9.336344999988796,space,0.6712661999918055,None,9.336922899994534,9.752041366682777,10.066033600014634,10.05447629999253,10.05478820001008,10.066033600014634,10.066033600014634,10.066033600014634,11.214776400011033,300,1,[1.1482046000019182],[1.148212300002342],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.1,1000,exp,3,3,0,space,0.30314209999050945,None,200,1,[1.2334776000061538],[1.2334853000065777],0,3,3,3,11.230295899993507,,11.214970300003188,11.230295899993507,12.229553000011947,12.229553000011947,12.229553000011947,12.546732399991015,space,0.30314209999050945,None,12.547285300010117,12.646128966680651,12.953488800005289,12.945130900014192,12.945469800004503,12.953488800005289,12.953488800005289,12.953488800005289,14.18745029999991,200,1,[1.2334776000061538],[1.2334853000065777],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.4,1000,exp,4,4,0,space,0.6244506999792065,None,100,1,[1.2002063999825623],[1.2002131000044756],0,4,4,10,14.203151099995011,,14.187625799997477,14.203151099995011,15.20250539999688,15.20250539999688,15.20250539999688,15.83676090001245,space,0.6244506999792065,None,15.837212699989323,16.252127666670518,16.559498299990082,16.55061609999393,16.551035999989836,16.559498299990082,16.559498299990082,16.559498299990082,17.76018290000502,100,1,[1.2002063999825623],[1.2002131000044756],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.7,1000,exp,5,5,0,space,0.40555899997707456,None,200,1,[2.1496581999817863],[2.149663899996085],0,5,5,11,17.77596560001257,,17.760373199998867,17.77596560001257,18.775205600017216,18.775205600017216,18.775205600017216,19.192487499996787,space,0.40555899997707456,None,19.19292180001503,19.89157206667393,20.196555300004547,20.1878379000118,20.18826990001253,20.196555300004547,20.196555300004547,20.196555300004547,22.346667900012108,200,1,[2.1496581999817863],[2.149663899996085],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.7,1000,exp ,6,6,0,space,0.28516010000021197,None,200,1,[1.2009569999936502],[1.2009637000155635],0,6,6,8,22.362268400000175,,22.346863400016446,22.362268400000175,23.361699800007045,23.361699800007045,23.361699800007045,23.66241489999811,space,0.28516010000021197,None,23.662897800008068,24.37787726667399,24.686952099989867,24.67894919999526,24.679243199992925,24.686952099989867,24.686952099989867,24.686952099989867,25.888337700016564,200,1,[1.2009569999936502],[1.2009637000155635],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.1,1000,exp,7,7,0,space,0.3606353999930434,None,300,1,[1.3331963999953587],[1.3332026000134647],0,7,7,6,25.90420260000974,,25.88855639999383,25.90420260000974,26.90349110000534,26.90349110000534,26.90349110000534,27.270807199995033,space,0.3606353999930434,None,27.271396399999503,27.370062766658762,27.684818000008818,27.665200099989306,27.66552499998943,27.684818000008818,27.684818000008818,27.684818000008818,29.018524000013713,300,1,[1.3331963999953587],[1.3332026000134647],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.7,400,unexp,8,8,0,space,0.4228251999884378,None,200,1,[1.1682138000032865],[1.168223599990597],0,8,8,2,29.034311600000365,,29.018731899996055,29.034311600000365,30.0338250999921,30.0338250999921,30.0338250999921,30.46757490001619,space,0.4228251999884378,None,30.468032700009644,31.18343066666081,31.492073500005063,31.483704300015233,31.484000800002832,31.492073500005063,31.492073500005063,31.492073500005063,32.660798500000965,200,1,[1.1682138000032865],[1.168223599990597],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
0.1,1000,exp,9,9,0,space,0.4299287000030745,None,200,1,[1.3168333000212442],[1.3168411000224296],0,9,9,9,32.676270900003146,,32.6610084999993,32.676270900003146,33.676287000009324,33.676287000009324,33.676287000009324,34.1093067000038,space,0.4299287000030745,None,34.10985320000327,34.208583366682674,34.523638799990295,34.50871230001212,34.50900019999244,34.523638799990295,34.523638799990295,34.523638799990295,35.84108489999198,200,1,[1.3168333000212442],[1.3168411000224296],Dhiraj 4,001,2024-11-08_14h51.58.437,Intentional binding,2024.2.2,60.31308522563748,2024-11-08 14h52.10.550627 +0530,
