WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_screen.started,Welcome.started,keyWelcome.started,Welcome_screen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,Study_trail.started,textStudytrail.started,Study_trail.stopped,Blank_Screen.started,textBlank.started,Blank_Screen.stopped,textStudytrail.stopped,textBlank.stopped,Wait_Screen.started,textWaitScreen.started,keyWaitScreen.started,Wait_Screen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,Y_N_Screen.started,text.started,key_resp.started,Y_N_Screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrails.started,text_2.started,key_resp_2.started,StudyTrails.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
delighted,None,46,10,3,n,1.0580467,None,,,,,3,10,46,11,150.024443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0118398,150.024443,150.024443,151.0920275,n,1.0580467,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
anxiety,blue,47,11,3,y,1.2026958,None,,,,,3,11,47,0,151.1076546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0945474,151.1076546,151.1076546,152.3240449,y,1.2026958,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
content,yellow,48,0,4,n,2.4329074,None,,,,,4,0,48,5,152.3400888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.3259688,152.3400888,152.3400888,154.7743732,n,2.4329074,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
anxiety,blue,49,1,4,y,0.719274,None,,,,,4,1,49,0,154.7894984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.776688,154.7894984,154.7894984,155.5235002,y,0.719274,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
excited ,yellow,50,2,4,y,0.5480593,None,,,,,4,2,50,3,155.5387495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.5262675,155.5387495,155.5387495,156.0890606,y,0.5480593,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
fascinated,None,51,3,4,n,0.8121867,None,,,,,4,3,51,7,156.1048847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0915473,156.1048847,156.1048847,156.9226994,n,0.8121867,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
ashamed,None,52,4,4,y,0.7381986,None,,,,,4,4,52,8,156.9382354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.9250328,156.9382354,156.9382354,157.6888831,y,0.7381986,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
delighted,None,53,5,4,y,0.5652954,None,,,,,4,5,53,11,157.70473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.6913247,157.70473,157.70473,158.2722139,y,0.5652954,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
vexed,blue,54,6,4,y,0.58253,None,,,,,4,6,54,2,158.2882658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.2743445,158.2882658,158.2882658,158.8722621,y,0.58253,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
aggravated,None,55,7,4,n,0.8846104,None,,,,,4,7,55,9,158.8877875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.8746947,158.8877875,158.8877875,159.7876045,n,0.8846104,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
jealous,None,56,8,4,y,0.7942421,None,,,,,4,8,56,6,159.8032786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.7902742,159.8032786,159.8032786,160.604762,y,0.7942421,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
joyous,yellow,57,9,4,y,0.5679759,None,,,,,4,9,57,4,160.6197903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.6069477,160.6197903,160.6197903,161.2042855,y,0.5679759,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
calm,None,58,10,4,y,0.7504219,None,,,,,4,10,58,10,161.2201049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.2063293,161.2201049,161.2201049,161.972285,y,0.7504219,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
depression,blue,59,11,4,y,0.5222047,None,,,,,4,11,59,1,161.9863538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.9747992,161.9863538,161.9863538,162.5208327,y,0.5222047,None,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
jealous,None,0,0,0,y,1.0732546,None,,,,,0,0,0,6,82.271651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2620449,82.271651,82.271651,83.3554153,y,1.0732546,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
content,yellow,1,1,0,y,0.8170128,None,,,,,0,1,1,5,83.3706423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3576564,83.3706423,83.3706423,84.2044622,y,0.8170128,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
fascinated,None,2,2,0,n,0.8336214,None,,,,,0,2,2,7,84.2207442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.206863,84.2207442,84.2207442,85.0712546,n,0.8336214,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
aggravated,None,3,3,0,n,0.6687738,None,,,,,0,3,3,9,85.0867896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0760347,85.0867896,85.0867896,85.7709594,n,0.6687738,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
anxiety,blue,4,4,0,y,0.7309254,None,,,,,0,4,4,0,85.7867343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.773179,85.7867343,85.7867343,86.5206074,y,0.7309254,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
joyous,yellow,5,5,0,y,0.6502469,None,,,,,0,5,5,4,86.5362966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5228463,86.5362966,86.5362966,87.2034814,y,0.6502469,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
excited ,yellow,6,6,0,y,0.5348066,None,,,,,0,6,6,3,87.2191388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2072797,87.2191388,87.2191388,87.7696821,y,0.5348066,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
ashamed,None,7,7,0,y,0.6458149,None,,,,,0,7,7,8,87.7858074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7725945,87.7858074,87.7858074,88.4364796,y,0.6458149,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
depression,blue,8,8,0,y,0.5771004,None,,,,,0,8,8,1,88.4519438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4389029,88.4519438,88.4519438,89.0359582,y,0.5771004,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
calm,None,9,9,0,y,0.4904423,None,,,,,0,9,9,10,89.0516282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0385499,89.0516282,89.0516282,89.5525427,y,0.4904423,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
vexed,blue,10,10,0,y,0.5103363,None,,,,,0,10,10,2,89.5689348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5547309,89.5689348,89.5689348,90.0857199,y,0.5103363,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
delighted,None,11,11,0,y,0.4568496,None,,,,,0,11,11,11,90.1014824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0882349,90.1014824,90.1014824,90.5691324,y,0.4568496,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
calm,None,12,0,1,y,0.506324,None,,,,,1,0,12,10,90.584891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5711411,90.584891,90.584891,91.1020635,y,0.506324,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
fascinated,None,13,1,1,n,1.5614644,None,,,,,1,1,13,7,91.1175928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.104666,91.1175928,91.1175928,92.6849321,n,1.5614644,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
excited ,yellow,14,2,1,y,0.6455341,None,,,,,1,2,14,3,92.700055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6872521,92.700055,92.700055,93.3516047,y,0.6455341,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
aggravated,None,15,3,1,n,0.9387781,None,,,,,1,3,15,9,93.3667974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3544252,93.3667974,93.3667974,94.3179291,n,0.9387781,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
vexed,blue,16,4,1,y,0.6677949,None,,,,,1,4,16,2,94.3327696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.320115,94.3327696,94.3327696,95.0175417,y,0.6677949,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
ashamed,None,17,5,1,y,0.5848132,None,,,,,1,5,17,8,95.0326839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0198173,95.0326839,95.0326839,95.633581,y,0.5848132,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
depression,blue,18,6,1,y,0.4341239,None,,,,,1,6,18,1,95.6495003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6360499,95.6495003,95.6495003,96.100143,y,0.4341239,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
delighted,None,19,7,1,y,0.4081657,None,,,,,1,7,19,11,96.1155775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1025337,96.1155775,96.1155775,96.5339761,y,0.4081657,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
joyous,yellow,20,8,1,y,0.4282563,None,,,,,1,8,20,4,96.5491728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5361667,96.5491728,96.5491728,96.9828511,y,0.4282563,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
content,yellow,21,9,1,y,0.4739054,None,,,,,1,9,21,5,96.9979794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9852231,96.9979794,96.9979794,97.48263,y,0.4739054,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
jealous,None,22,10,1,y,0.4626888,None,,,,,1,10,22,6,97.4979395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4849052,97.4979395,97.4979395,97.9655247,y,0.4626888,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
anxiety,blue,23,11,1,y,0.4646234,None,,,,,1,11,23,0,97.9819239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9678754,97.9819239,97.9819239,98.4490599,y,0.4646234,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
delighted,None,24,0,2,y,0.4334306,None,,,,,2,0,24,11,98.4649212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4515268,98.4649212,98.4649212,98.9154003,y,0.4334306,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
excited ,yellow,25,1,2,y,0.4303023,None,,,,,2,1,25,3,98.9310827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9177807,98.9310827,98.9310827,99.3656822,y,0.4303023,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
calm,None,26,2,2,y,0.495217,None,,,,,2,2,26,10,99.3810195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3676894,99.3810195,99.3810195,99.8814813,y,0.495217,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
fascinated,None,27,3,2,y,0.6200159,None,,,,,2,3,27,7,99.8969313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8843139,99.8969313,99.8969313,100.5324548,y,0.6200159,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
anxiety,blue,28,4,2,y,0.5630494,None,,,,,2,4,28,0,100.5466916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5347703,100.5466916,100.5466916,101.1142854,y,0.5630494,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
vexed,blue,29,5,2,y,0.5149112,None,,,,,2,5,29,2,101.1301142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1164351,101.1301142,101.1301142,101.6472814,y,0.5149112,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
jealous,None,30,6,2,y,0.4925073,None,,,,,2,6,30,6,101.6633154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6496268,101.6633154,101.6633154,102.1643129,y,0.4925073,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
joyous,yellow,31,7,2,y,0.4789476,None,,,,,2,7,31,4,102.1792759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1665439,102.1792759,102.1792759,102.6642176,y,0.4789476,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
content,yellow,32,8,2,y,0.4811275,None,,,,,2,8,32,5,102.6793941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6662492,102.6793941,102.6793941,103.1642129,y,0.4811275,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
depression,blue,33,9,2,y,0.7016381,None,,,,,2,9,33,1,103.1790431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1669205,103.1790431,103.1790431,103.8964744,y,0.7016381,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
aggravated,None,34,10,2,n,0.8276826,None,,,,,2,10,34,9,103.9118105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8990157,103.9118105,103.9118105,104.7463385,n,0.8276826,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
ashamed,None,35,11,2,y,1.0620315,None,,,,,2,11,35,8,104.7620532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.748619,104.7620532,104.7620532,105.8290047,y,1.0620315,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
jealous,None,36,0,3,y,0.6352709,None,,,,,3,0,36,6,105.8443752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8314002,105.8443752,105.8443752,106.4947793,y,0.6352709,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
excited ,yellow,37,1,3,y,0.4837707,None,,,,,3,1,37,3,106.5110472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4969918,106.5110472,106.5110472,107.0114081,y,0.4837707,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
anxiety,blue,38,2,3,y,0.434523,None,,,,,3,2,38,0,107.0270203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0137219,107.0270203,107.0270203,107.4780628,y,0.434523,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
aggravated,None,39,3,3,n,0.7343661,None,,,,,3,3,39,9,107.4936073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4810467,107.4936073,107.4936073,108.2447658,n,0.7343661,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
calm,None,40,4,3,y,0.8714193,None,,,,,3,4,40,10,108.2599257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2467922,108.2599257,108.2599257,109.144425,y,0.8714193,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
fascinated,None,41,5,3,y,0.6399124,None,,,,,3,5,41,7,109.1596475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.1469811,109.1596475,109.1596475,109.8113174,y,0.6399124,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
ashamed,None,42,6,3,y,0.2147335,None,,,,,3,6,42,8,109.8258066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8136235,109.8258066,109.8258066,110.0446812,y,0.2147335,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
depression,blue,43,7,3,y,0.6216804,None,,,,,3,7,43,1,110.0592156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0470654,110.0592156,110.0592156,110.6934547,y,0.6216804,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
delighted,None,44,8,3,y,0.5835862,None,,,,,3,8,44,11,110.7086248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.6961068,110.7086248,110.7086248,111.2939379,y,0.5835862,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
joyous,yellow,45,9,3,y,0.5840617,None,,,,,3,9,45,4,111.3088324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.2978012,111.3088324,111.3088324,111.9089072,y,0.5840617,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
content,yellow,46,10,3,y,0.9606166,None,,,,,3,10,46,5,111.9247532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9110568,111.9247532,111.9247532,112.892276,y,0.9606166,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
vexed,blue,47,11,3,y,0.6576369,None,,,,,3,11,47,2,112.9083308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.8944253,112.9083308,112.9083308,113.5754079,y,0.6576369,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
fascinated,None,48,0,4,n,0.7876846,None,,,,,4,0,48,7,113.5909691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.5780807,113.5909691,113.5909691,114.3919145,n,0.7876846,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
content,yellow,49,1,4,y,0.5951643,None,,,,,4,1,49,5,114.4070884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.3939403,114.4070884,114.4070884,115.0090754,y,0.5951643,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
excited ,yellow,50,2,4,y,0.5455665,None,,,,,4,2,50,3,115.02396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0114349,115.02396,115.02396,115.5746189,y,0.5455665,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
joyous,yellow,51,3,4,y,0.4456918,None,,,,,4,3,51,4,115.5902851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5772906,115.5902851,115.5902851,116.0412632,y,0.4456918,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
vexed,blue,52,4,4,y,0.3789209,None,,,,,4,4,52,2,116.0568285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0433833,116.0568285,116.0568285,116.4404744,y,0.3789209,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
aggravated,None,53,5,4,n,1.0067735,None,,,,,4,5,53,9,116.4568649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.4429708,116.4568649,116.4568649,117.4739303,n,1.0067735,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
calm,None,54,6,4,y,0.6831317,None,,,,,4,6,54,10,117.4890544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.4759803,117.4890544,117.4890544,118.1742275,y,0.6831317,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
anxiety,blue,55,7,4,y,1.0006775,None,,,,,4,7,55,0,118.1893616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1775102,118.1893616,118.1893616,119.2062923,y,1.0006775,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
depression,blue,56,8,4,y,0.4680835,None,,,,,4,8,56,1,119.222537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2086952,119.222537,119.222537,119.7064414,y,0.4680835,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
jealous,None,57,9,4,y,0.4709538,None,,,,,4,9,57,6,119.7224867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.709033,119.7224867,119.7224867,120.2058702,y,0.4709538,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
delighted,None,58,10,4,y,0.4918213,None,,,,,4,10,58,11,120.2220236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.2083094,120.2220236,120.2220236,120.7225858,y,0.4918213,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
ashamed,None,59,11,4,y,0.5302725,None,,,,,4,11,59,8,120.7388288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7251082,120.7388288,120.7388288,121.2749058,y,0.5302725,None,ishita,1,2024-12-06_11h51.52.595,Solo project,2024.2.4,60.3230177,2024-12-06 11h52.03.545850 +0530
