thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,0,13,[-0.11666666666666667],[0.2783333333333333],[1],[0],[0],[1.0749462998937815],['target'],13,0,13,0,16.788690899964422,,5,16.78104729996994,16.788690899964422,16.788690899964422,0.01138040004298091,17.856324600055814,[-0.11666666666666667],[0.2783333333333333],[1],[0],[0],[1.0749462998937815],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
14,0,14,[0.12916666666666668],[0.4525],[1],[0],[0],[1.3753152000717819],['target'],14,0,14,0,17.87675519986078,,5,17.868466299958527,17.87675519986078,17.87675519986078,0.011987500125542283,19.24412289983593,[0.12916666666666668],[0.4525],[1],[0],[0],[1.3753152000717819],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
15,0,15,[0.12916666666666668],[0.4525],[0],[0],[1],[1.3197841998189688],[None],15,0,15,0,19.285446499940008,,10,19.26685669994913,19.285446499940008,19.285446499940008,0.02259249985218048,20.587209299905226,[0.12916666666666668],[0.4525],[0],[0],[1],[1.3197841998189688],[None],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
16,0,16,[0.12916666666666668],[0.4525],[0],[0],[1],[0.14809240004979074],[None],16,0,16,0,20.650653399992734,,10,20.620381199987605,20.650653399992734,20.650653399992734,0.03292130003683269,20.768987799994648,[0.12916666666666668],[0.4525],[0],[0],[1],[0.14809240004979074],[None],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
17,0,17,[0.12916666666666668],[0.4525],[0],[0],[1],[0.11861050012521446],[None],17,0,17,0,20.818347400054336,,10,20.802095799939707,20.818347400054336,20.818347400054336,0.03283949987962842,20.92133459984325,[0.12916666666666668],[0.4525],[0],[0],[1],[0.11861050012521446],[None],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
18,0,18,[0.12916666666666668],[0.4525],[0],[0],[1],[0.10158320004120469],[None],18,0,18,0,20.975446399999782,,10,20.958335099974647,20.975446399999782,20.975446399999782,0.03677310002967715,21.06046439986676,[0.12916666666666668],[0.4525],[0],[0],[1],[0.10158320004120469],[None],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
19,0,19,[0.12916666666666668],[0.4525],[0],[0],[1],[0.10539719997905195],[None],19,0,19,0,21.100140899885446,,5,21.07954439986497,21.100140899885446,21.100140899885446,0.01883069984614849,21.185417299857363,[0.12916666666666668],[0.4525],[0],[0],[1],[0.10539719997905195],[None],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
20,0,20,[0.12916666666666668],[0.4525],[0],[0],[1],[0.09486150019802153],[None],20,0,20,0,21.25023419992067,,10,21.223499699961394,21.25023419992067,21.25023419992067,0.0378477000631392,21.318769299890846,[0.12916666666666668],[0.4525],[0],[0],[1],[0.09486150019802153],[None],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
21,0,21,[0.1775],[0.10916666666666666],[1],[0],[0],[1.1713234998751432],['target'],21,0,21,0,21.35857819998637,,5,21.33770320005715,21.35857819998637,21.35857819998637,0.018710799980908632,22.50949539989233,[0.1775],[0.10916666666666666],[1],[0],[0],[1.1713234998751432],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
22,0,22,[-0.01],[-0.11666666666666667],[1],[0],[0],[1.053473399952054],['target'],22,0,22,0,22.549645100021735,,5,22.52994569996372,22.549645100021735,22.549645100021735,0.020188399823382497,23.58383829984814,[-0.01],[-0.11666666666666667],[1],[0],[0],[1.053473399952054],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
23,0,23,[-0.1925],[-0.34],[1],[0],[0],[1.0667338999919593],['target'],23,0,23,0,23.632530799834058,,10,23.616514900000766,23.632530799834058,23.632530799834058,0.032471700105816126,24.68383209989406,[-0.1925],[-0.34],[1],[0],[0],[1.0667338999919593],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
24,0,24,[-0.4033333333333333],[0.1],[1],[0],[0],[1.1671885999385267],['target'],24,0,24,0,24.733425399987027,,10,24.717291299952194,24.733425399987027,24.733425399987027,0.033245000056922436,25.88499669986777,[-0.4033333333333333],[0.1],[1],[0],[0],[1.1671885999385267],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
