reward_today,future_reward,key_resp.keys,key_resp.rt,,,
11,30,l,0.652518,,,
11,30,l,0.383954,,,
11,30,l,0.469726,,,
11,30,l,0.530332,,,
11,30,l,0.540699,,,
11,30,l,0.585145,,,
11,30,l,0.420109,,,
11,30,l,0.466336,,,
11,30,l,0.458763,,Value of K,0.6100083313
11,30,l,0.399935,,,
11,30,l,0.457689,,,
11,30,l,0.522437,,,
11,30,l,0.871533,,,
11,30,l,0.34533,,,
11,30,l,0.585288,,,
11,30,l,0.489882,,,
11,30,l,0.382435,,,
11,30,t,0.370187,,,
11,30,l,0.385844,,,
11,30,l,0.356853,,,
11,30,l,0.502192,,,
11,30,l,0.544705,,,
11,30,l,0.421947,,,
11,30,l,0.431364,,,
15,35,l,1.031235,,,
15,35,t,0.403872,,,
15,35,l,0.404644,,,
15,35,l,0.583778,,,
15,35,l,0.422639,,,
15,35,l,0.825604,,,
15,35,l,0.459525,,,
15,35,l,0.530156,,,
15,35,l,0.50487,,,
15,35,l,0.528764,,,
15,35,l,0.480238,,,
15,35,l,0.62816,,,
15,35,l,0.983238,,,
15,35,l,0.748542,,,
15,35,l,0.547328,,,
15,35,l,0.553947,,,
15,35,l,0.618619,,,
15,35,l,0.460116,,,
15,35,l,0.372813,,,
15,35,l,0.503982,,,
15,35,l,0.541672,,,
15,35,l,1.232052,,,
15,35,l,0.519865,,,
15,35,l,0.558568,,,
15,35,l,0.490649,,,
27,50,t,0.758404,,,
27,50,t,0.980388,,,
27,50,t,1.092608,,,
27,50,t,0.552959,,,
27,50,t,0.454791,,,
27,50,t,0.563968,,,
27,50,t,0.411058,,,
27,50,t,0.512428,,,
27,50,t,0.506105,,,
27,50,t,1.186221,,,
27,50,t,0.584681,,,
27,50,t,0.556907,,,
27,50,l,1.57647,,,
27,50,l,0.544226,,,
27,50,t,0.631312,,,
27,50,l,0.678322,,,
27,50,l,0.644882,,,
27,50,l,0.480192,,,
27,50,t,0.402394,,,
27,50,l,0.46587,,,
27,50,l,0.551014,,,
27,50,l,0.715844,,,
27,50,l,0.562214,,,
27,50,l,0.570573,,,
40,55,t,0.451547,,,
40,55,t,0.432538,,,
40,55,t,0.382717,,,
40,55,t,0.553666,,,
40,55,t,0.401359,,,
40,55,t,0.362004,,,
40,55,t,0.352595,,,
40,55,t,0.352662,,,
40,55,t,0.579309,,,
40,55,t,0.856126,,,
40,55,t,0.517493,,,
40,55,t,0.488454,,,
40,55,t,0.403566,,,
40,55,t,3.441511,,,
40,55,t,0.431785,,,
40,55,t,0.442134,,,
40,55,t,0.670676,,,
40,55,t,0.382862,,,
40,55,t,0.387065,,,
40,55,t,0.454415,,,
40,55,t,0.547368,,,
40,55,t,0.450727,,,
40,55,t,0.510344,,,
40,55,t,1.047598,,,
49,60,t,0.824631,,,
49,60,t,0.45164,,,
49,60,t,0.408877,,,
49,60,t,1.190661,,,
49,60,t,0.423456,,,
49,60,t,0.331328,,,
49,60,t,0.402482,,,
49,60,t,0.404363,,,
49,60,t,0.357374,,,
49,60,t,0.731808,,,
49,60,t,0.436956,,,
49,60,t,0.390378,,,
49,60,t,0.460612,,,
49,60,t,0.539398,,,
49,60,t,0.426101,,,
49,60,t,0.458008,,,
49,60,t,0.403207,,,
49,60,t,0.349813,,,
49,60,t,0.479978,,,
49,60,t,0.47368,,,
49,60,t,0.331974,,,
49,60,t,0.539631,,,
49,60,t,0.367246,,,
49,60,t,0.435842,,,
49,60,,,,,
67,75,t,0.594796,,,
67,75,t,0.359533,,,
67,75,t,0.365926,,,
67,75,t,0.23794,,,
67,75,t,0.376229,,,
67,75,l,0.37915,,,
67,75,t,0.401265,,,
67,75,t,0.370155,,,
67,75,t,0.51234,,,
67,75,t,0.398543,,,
67,75,t,0.457609,,,
67,75,t,0.424373,,,
67,75,t,0.547278,,,
67,75,t,1.313265,,,
67,75,t,0.557219,,,
67,75,t,0.414017,,,
67,75,t,0.292545,,,
67,75,t,0.55285,,,
67,75,t,0.455595,,,
67,75,t,0.454021,,,
67,75,t,0.403654,,,
67,75,t,0.44653,,,
67,75,t,0.662537,,,
67,75,t,0.582698,,,
78,80,t,0.398026,,,
78,80,t,0.442918,,,
78,80,t,0.410579,,,
78,80,t,0.285685,,,
78,80,t,0.444085,,,
78,80,t,0.360641,,,
78,80,t,0.395455,,,
78,80,t,0.532344,,,
78,80,t,0.415211,,,
78,80,t,0.359192,,,
78,80,t,0.393849,,,
78,80,t,0.622974,,,
78,80,t,0.5123,,,
78,80,t,0.432958,,,
78,80,t,0.46484,,,
78,80,t,0.444803,,,
78,80,t,0.487507,,,
78,80,t,0.420059,,,
78,80,t,0.556373,,,
78,80,t,0.463959,,,
78,80,t,0.372848,,,
78,80,t,0.382792,,,
78,80,t,0.434641,,,
78,80,t,0.404111,,,
78,80,l,0.439747,,,
