9.7626 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
9.7693 	DATA 	Keypress: l
9.7775 	EXP 	fixation: autoDraw = False
9.7775 	EXP 	text: autoDraw = False
9.7775 	EXP 	text: height = 0.05
9.7775 	EXP 	text: height = 0.05
9.7775 	EXP 	text: height = 0.05
9.7775 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
9.7775 	EXP 	fixation: autoDraw = True
10.7781 	INFO 	Keyboard events cleared
10.7777 	EXP 	fixation: autoDraw = False
10.7777 	EXP 	text: autoDraw = True
11.5620 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
11.5665 	DATA 	Keypress: l
11.5766 	EXP 	fixation: autoDraw = False
11.5766 	EXP 	text: autoDraw = False
11.5766 	EXP 	text: height = 0.05
11.5766 	EXP 	text: height = 0.05
11.5766 	EXP 	text: height = 0.05
11.5766 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
11.5766 	EXP 	fixation: autoDraw = True
12.5771 	INFO 	Keyboard events cleared
12.5768 	EXP 	fixation: autoDraw = False
12.5768 	EXP 	text: autoDraw = True
13.0443 	EXP 	New trial (rep=1, index=0): <Trial 7 (0 in rep 1) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 7, 'thisTrialN': 0, 'thisRepN': 1}>
13.0453 	DATA 	Keypress: t
13.0602 	EXP 	fixation: autoDraw = False
13.0602 	EXP 	text: autoDraw = False
13.0602 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
13.0602 	EXP 	fixation: autoDraw = True
14.0602 	INFO 	Keyboard events cleared
14.0599 	EXP 	fixation: autoDraw = False
14.0599 	EXP 	text: autoDraw = True
14.5103 	EXP 	New trial (rep=1, index=1): <Trial 8 (1 in rep 1) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 8, 'thisTrialN': 1, 'thisRepN': 1}>
14.5144 	DATA 	Keypress: t
14.5251 	EXP 	fixation: autoDraw = False
14.5251 	EXP 	text: autoDraw = False
14.5251 	EXP 	text: height = 0.05
14.5251 	EXP 	text: height = 0.05
14.5251 	EXP 	text: height = 0.05
14.5251 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
14.5251 	EXP 	fixation: autoDraw = True
15.5101 	INFO 	Keyboard events cleared
15.5096 	EXP 	text: autoDraw = True
15.5262 	EXP 	fixation: autoDraw = False
16.1932 	EXP 	New trial (rep=1, index=2): <Trial 9 (2 in rep 1) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 9, 'thisTrialN': 2, 'thisRepN': 1}>
16.1974 	DATA 	Keypress: l
16.2078 	EXP 	fixation: autoDraw = False
16.2078 	EXP 	text: autoDraw = False
16.2078 	EXP 	text: height = 0.05
16.2078 	EXP 	text: height = 0.05
16.2078 	EXP 	text: height = 0.05
16.2078 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
16.2078 	EXP 	fixation: autoDraw = True
17.2088 	INFO 	Keyboard events cleared
17.2083 	EXP 	fixation: autoDraw = False
17.2083 	EXP 	text: autoDraw = True
17.5925 	EXP 	New trial (rep=1, index=3): <Trial 10 (3 in rep 1) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 10, 'thisTrialN': 3, 'thisRepN': 1}>
17.5963 	DATA 	Keypress: t
17.6072 	EXP 	fixation: autoDraw = False
17.6072 	EXP 	text: autoDraw = False
17.6072 	EXP 	text: height = 0.05
17.6072 	EXP 	text: height = 0.05
17.6072 	EXP 	text: height = 0.05
17.6072 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
17.6072 	EXP 	fixation: autoDraw = True
18.5918 	INFO 	Keyboard events cleared
18.5914 	EXP 	text: autoDraw = True
18.6077 	EXP 	fixation: autoDraw = False
18.9588 	EXP 	New trial (rep=1, index=4): <Trial 11 (4 in rep 1) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 11, 'thisTrialN': 4, 'thisRepN': 1}>
18.9629 	DATA 	Keypress: l
18.9736 	EXP 	fixation: autoDraw = False
18.9736 	EXP 	text: autoDraw = False
18.9736 	EXP 	text: height = 0.05
18.9736 	EXP 	text: height = 0.05
18.9736 	EXP 	text: height = 0.05
18.9736 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
18.9736 	EXP 	fixation: autoDraw = True
19.9748 	INFO 	Keyboard events cleared
19.9742 	EXP 	fixation: autoDraw = False
19.9742 	EXP 	text: autoDraw = True
20.5580 	EXP 	New trial (rep=1, index=5): <Trial 12 (5 in rep 1) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 12, 'thisTrialN': 5, 'thisRepN': 1}>
20.5622 	DATA 	Keypress: l
20.5727 	EXP 	fixation: autoDraw = False
20.5727 	EXP 	text: autoDraw = False
20.5727 	EXP 	text: height = 0.05
20.5727 	EXP 	text: height = 0.05
20.5727 	EXP 	text: height = 0.05
20.5727 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
20.5727 	EXP 	fixation: autoDraw = True
21.5751 	INFO 	Keyboard events cleared
21.5745 	EXP 	fixation: autoDraw = False
21.5745 	EXP 	text: autoDraw = True
23.5898 	EXP 	text: autoDraw = False
56.3427 	EXP 	New trial (rep=1, index=6): <Trial 13 (6 in rep 1) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 13, 'thisTrialN': 6, 'thisRepN': 1}>
56.3474 	DATA 	Keypress: t
56.3570 	EXP 	fixation: autoDraw = False
56.3570 	EXP 	text: autoDraw = False
56.3570 	EXP 	text: height = 0.05
56.3570 	EXP 	text: height = 0.05
56.3570 	EXP 	text: height = 0.05
56.3570 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
56.3570 	EXP 	fixation: autoDraw = True
57.3577 	INFO 	Keyboard events cleared
57.3574 	EXP 	fixation: autoDraw = False
57.3574 	EXP 	text: autoDraw = True
