8.6678 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
8.6725 	DATA 	Keypress: t
8.6829 	EXP 	fixation: autoDraw = False
8.6829 	EXP 	text: autoDraw = False
8.6829 	EXP 	text: height = 0.05
8.6829 	EXP 	text: height = 0.05
8.6829 	EXP 	text: height = 0.05
8.6829 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
8.6829 	EXP 	fixation: autoDraw = True
9.6834 	INFO 	Keyboard events cleared
9.6830 	EXP 	fixation: autoDraw = False
9.6830 	EXP 	text: autoDraw = True
10.0841 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
10.0885 	DATA 	Keypress: t
10.0988 	EXP 	fixation: autoDraw = False
10.0988 	EXP 	text: autoDraw = False
10.0988 	EXP 	text: height = 0.05
10.0988 	EXP 	text: height = 0.05
10.0988 	EXP 	text: height = 0.05
10.0988 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
10.0988 	EXP 	fixation: autoDraw = True
11.0993 	INFO 	Keyboard events cleared
11.0990 	EXP 	fixation: autoDraw = False
11.0990 	EXP 	text: autoDraw = True
11.8661 	EXP 	New trial (rep=1, index=0): <Trial 7 (0 in rep 1) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 7, 'thisTrialN': 0, 'thisRepN': 1}>
11.8704 	DATA 	Keypress: t
11.8815 	EXP 	fixation: autoDraw = False
11.8815 	EXP 	text: autoDraw = False
11.8815 	EXP 	text: height = 0.05
11.8815 	EXP 	text: height = 0.05
11.8815 	EXP 	text: height = 0.05
11.8815 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
11.8815 	EXP 	fixation: autoDraw = True
12.8819 	INFO 	Keyboard events cleared
12.8816 	EXP 	fixation: autoDraw = False
12.8816 	EXP 	text: autoDraw = True
13.3332 	EXP 	New trial (rep=1, index=1): <Trial 8 (1 in rep 1) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 8, 'thisTrialN': 1, 'thisRepN': 1}>
13.3374 	DATA 	Keypress: t
13.3471 	EXP 	fixation: autoDraw = False
13.3471 	EXP 	text: autoDraw = False
13.3471 	EXP 	text: height = 0.05
13.3471 	EXP 	text: height = 0.05
13.3471 	EXP 	text: height = 0.05
13.3471 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
13.3471 	EXP 	fixation: autoDraw = True
14.3482 	INFO 	Keyboard events cleared
14.3476 	EXP 	fixation: autoDraw = False
14.3476 	EXP 	text: autoDraw = True
14.7334 	DATA 	Keypress: l
14.7489 	EXP 	New trial (rep=1, index=2): <Trial 9 (2 in rep 1) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 9, 'thisTrialN': 2, 'thisRepN': 1}>
14.7636 	EXP 	fixation: autoDraw = False
14.7636 	EXP 	text: autoDraw = False
14.7636 	EXP 	text: height = 0.05
14.7636 	EXP 	text: height = 0.05
14.7636 	EXP 	text: height = 0.05
14.7636 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
14.7636 	EXP 	fixation: autoDraw = True
15.7650 	INFO 	Keyboard events cleared
15.7643 	EXP 	fixation: autoDraw = False
15.7643 	EXP 	text: autoDraw = True
16.2311 	EXP 	New trial (rep=1, index=3): <Trial 10 (3 in rep 1) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 10, 'thisTrialN': 3, 'thisRepN': 1}>
16.2350 	DATA 	Keypress: t
16.2460 	EXP 	fixation: autoDraw = False
16.2460 	EXP 	text: autoDraw = False
16.2460 	EXP 	text: height = 0.05
16.2460 	EXP 	text: height = 0.05
16.2460 	EXP 	text: height = 0.05
16.2460 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
16.2460 	EXP 	fixation: autoDraw = True
17.2297 	INFO 	Keyboard events cleared
17.2295 	EXP 	text: autoDraw = True
17.2466 	EXP 	fixation: autoDraw = False
17.6477 	EXP 	New trial (rep=1, index=4): <Trial 11 (4 in rep 1) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 11, 'thisTrialN': 4, 'thisRepN': 1}>
17.6523 	DATA 	Keypress: t
17.6622 	EXP 	fixation: autoDraw = False
17.6622 	EXP 	text: autoDraw = False
