10.3341 	INFO 	Loaded monitor calibration from ['2024_08_23 11:36']
10.3388 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
10.5578 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F589F125C0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F589F132B0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F589FCBFD0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.5579 	EXP 	window1: backgroundImage = ''
10.5579 	EXP 	window1: backgroundFit = 'none'
10.6195 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.6195 	EXP 	window1: recordFrameIntervals = False
10.8903 	EXP 	window1: recordFrameIntervals = True
11.0744 	EXP 	Screen (0) actual frame rate measured at 60.07Hz
11.0744 	EXP 	window1: recordFrameIntervals = False
13.2577 	INFO 	keyboard.Keyboard is using iohub backend.
13.2578 	INFO 	keyboard.Keyboard is using iohub backend.
13.2579 	EXP 	Delay dfiscounting: status = STARTED
13.2607 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.2835 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0095 	EXP 	Imported C:/Users/mssaa/Downloads/Discounting - Sheet1.csv as conditions, 7 conditions, 3 params
0.0121 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0730 	EXP 	text: height = 0.05
0.0730 	EXP 	text: height = 0.05
0.0730 	EXP 	text: height = 0.05
0.0730 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
0.0730 	EXP 	fixation: autoDraw = True
0.6271 	DATA 	Keypress: t
1.0069 	INFO 	Keyboard events cleared
1.0067 	EXP 	text: autoDraw = True
1.0727 	EXP 	fixation: autoDraw = False
1.5897 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
1.5946 	DATA 	Keypress: t
1.6051 	EXP 	fixation: autoDraw = False
1.6051 	EXP 	text: autoDraw = False
1.6051 	EXP 	text: height = 0.05
1.6051 	EXP 	text: height = 0.05
1.6051 	EXP 	text: height = 0.05
1.6051 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
1.6051 	EXP 	fixation: autoDraw = True
2.6055 	INFO 	Keyboard events cleared
2.6053 	EXP 	fixation: autoDraw = False
2.6053 	EXP 	text: autoDraw = True
3.1725 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
3.1754 	DATA 	Keypress: t
3.1876 	EXP 	fixation: autoDraw = False
3.1876 	EXP 	text: autoDraw = False
3.1876 	EXP 	text: height = 0.05
3.1876 	EXP 	text: height = 0.05
3.1876 	EXP 	text: height = 0.05
3.1876 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
3.1876 	EXP 	fixation: autoDraw = True
4.1881 	INFO 	Keyboard events cleared
4.1878 	EXP 	fixation: autoDraw = False
4.1878 	EXP 	text: autoDraw = True
4.5720 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
4.5766 	DATA 	Keypress: t
4.5870 	EXP 	fixation: autoDraw = False
4.5870 	EXP 	text: autoDraw = False
4.5870 	EXP 	text: height = 0.05
4.5870 	EXP 	text: height = 0.05
4.5870 	EXP 	text: height = 0.05
4.5870 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
4.5870 	EXP 	fixation: autoDraw = True
5.5875 	INFO 	Keyboard events cleared
5.5872 	EXP 	fixation: autoDraw = False
5.5872 	EXP 	text: autoDraw = True
5.9216 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
5.9248 	DATA 	Keypress: t
5.9366 	EXP 	fixation: autoDraw = False
5.9366 	EXP 	text: autoDraw = False
5.9366 	EXP 	text: height = 0.05
5.9366 	EXP 	text: height = 0.05
5.9366 	EXP 	text: height = 0.05
5.9366 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
5.9366 	EXP 	fixation: autoDraw = True
6.9369 	INFO 	Keyboard events cleared
6.9367 	EXP 	fixation: autoDraw = False
6.9367 	EXP 	text: autoDraw = True
7.3051 	DATA 	Keypress: l
7.3207 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
7.3359 	EXP 	fixation: autoDraw = False
7.3359 	EXP 	text: autoDraw = False
7.3359 	EXP 	text: height = 0.05
7.3359 	EXP 	text: height = 0.05
7.3359 	EXP 	text: height = 0.05
7.3359 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
7.3359 	EXP 	fixation: autoDraw = True
8.3366 	INFO 	Keyboard events cleared
8.3364 	EXP 	fixation: autoDraw = False
8.3364 	EXP 	text: autoDraw = True
8.5529 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
8.5556 	DATA 	Keypress: t
8.5693 	EXP 	fixation: autoDraw = False
8.5693 	EXP 	text: autoDraw = False
8.5693 	EXP 	text: height = 0.05
8.5693 	EXP 	text: height = 0.05
8.5693 	EXP 	text: height = 0.05
8.5693 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
8.5693 	EXP 	fixation: autoDraw = True
9.5524 	INFO 	Keyboard events cleared
9.5522 	EXP 	text: autoDraw = True
9.5688 	EXP 	fixation: autoDraw = False
9.7865 	EXP 	New trial (rep=1, index=0): <Trial 7 (0 in rep 1) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 7, 'thisTrialN': 0, 'thisRepN': 1}>
9.7874 	DATA 	Keypress: t
9.8023 	EXP 	fixation: autoDraw = False
9.8023 	EXP 	text: autoDraw = False
9.8023 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
9.8023 	EXP 	fixation: autoDraw = True
10.8013 	INFO 	Keyboard events cleared
10.8011 	EXP 	fixation: autoDraw = False
10.8011 	EXP 	text: autoDraw = True
11.0351 	EXP 	New trial (rep=1, index=1): <Trial 8 (1 in rep 1) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 8, 'thisTrialN': 1, 'thisRepN': 1}>
11.0384 	DATA 	Keypress: t
11.0509 	EXP 	fixation: autoDraw = False
11.0509 	EXP 	text: autoDraw = False
11.0509 	EXP 	text: height = 0.05
11.0509 	EXP 	text: height = 0.05
11.0509 	EXP 	text: height = 0.05
11.0509 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
11.0509 	EXP 	fixation: autoDraw = True
12.0340 	INFO 	Keyboard events cleared
12.0337 	EXP 	text: autoDraw = True
12.0514 	EXP 	fixation: autoDraw = False
12.2349 	EXP 	New trial (rep=1, index=2): <Trial 9 (2 in rep 1) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 9, 'thisTrialN': 2, 'thisRepN': 1}>
12.2377 	DATA 	Keypress: t
12.2515 	EXP 	fixation: autoDraw = False
12.2515 	EXP 	text: autoDraw = False
12.2515 	EXP 	text: height = 0.05
12.2515 	EXP 	text: height = 0.05
12.2515 	EXP 	text: height = 0.05
12.2515 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
12.2515 	EXP 	fixation: autoDraw = True
13.2341 	INFO 	Keyboard events cleared
13.2338 	EXP 	text: autoDraw = True
13.2672 	EXP 	fixation: autoDraw = False
13.6021 	EXP 	New trial (rep=1, index=3): <Trial 10 (3 in rep 1) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 10, 'thisTrialN': 3, 'thisRepN': 1}>
13.6047 	DATA 	Keypress: t
13.6165 	EXP 	fixation: autoDraw = False
13.6165 	EXP 	text: autoDraw = False
13.6165 	EXP 	text: height = 0.05
13.6165 	EXP 	text: height = 0.05
13.6165 	EXP 	text: height = 0.05
13.6165 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
13.6165 	EXP 	fixation: autoDraw = True
14.6168 	INFO 	Keyboard events cleared
14.6166 	EXP 	fixation: autoDraw = False
14.6166 	EXP 	text: autoDraw = True
14.8842 	EXP 	New trial (rep=1, index=4): <Trial 11 (4 in rep 1) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 11, 'thisTrialN': 4, 'thisRepN': 1}>
14.8873 	DATA 	Keypress: t
14.8992 	EXP 	fixation: autoDraw = False
14.8992 	EXP 	text: autoDraw = False
14.8992 	EXP 	text: height = 0.05
14.8992 	EXP 	text: height = 0.05
14.8992 	EXP 	text: height = 0.05
14.8992 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
14.8992 	EXP 	fixation: autoDraw = True
15.8997 	INFO 	Keyboard events cleared
15.8995 	EXP 	fixation: autoDraw = False
15.8995 	EXP 	text: autoDraw = True
16.3835 	EXP 	New trial (rep=1, index=5): <Trial 12 (5 in rep 1) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 12, 'thisTrialN': 5, 'thisRepN': 1}>
16.3865 	DATA 	Keypress: l
16.3986 	EXP 	fixation: autoDraw = False
16.3986 	EXP 	text: autoDraw = False
16.3986 	EXP 	text: height = 0.05
16.3986 	EXP 	text: height = 0.05
16.3986 	EXP 	text: height = 0.05
16.3986 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
16.3986 	EXP 	fixation: autoDraw = True
17.3991 	INFO 	Keyboard events cleared
17.3988 	EXP 	fixation: autoDraw = False
17.3988 	EXP 	text: autoDraw = True
17.6329 	EXP 	New trial (rep=1, index=6): <Trial 13 (6 in rep 1) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 13, 'thisTrialN': 6, 'thisRepN': 1}>
17.6358 	DATA 	Keypress: t
17.6479 	EXP 	fixation: autoDraw = False
17.6479 	EXP 	text: autoDraw = False
17.6479 	EXP 	text: height = 0.05
17.6479 	EXP 	text: height = 0.05
17.6479 	EXP 	text: height = 0.05
17.6479 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
17.6479 	EXP 	fixation: autoDraw = True
18.6486 	INFO 	Keyboard events cleared
18.6483 	EXP 	fixation: autoDraw = False
18.6483 	EXP 	text: autoDraw = True
18.9157 	EXP 	New trial (rep=2, index=0): <Trial 14 (0 in rep 2) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 14, 'thisTrialN': 0, 'thisRepN': 2}>
18.9184 	DATA 	Keypress: t
18.9309 	EXP 	fixation: autoDraw = False
18.9309 	EXP 	text: autoDraw = False
18.9309 	EXP 	text: height = 0.05
18.9309 	EXP 	text: height = 0.05
18.9309 	EXP 	text: height = 0.05
18.9309 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
18.9309 	EXP 	fixation: autoDraw = True
19.9314 	INFO 	Keyboard events cleared
19.9311 	EXP 	fixation: autoDraw = False
19.9311 	EXP 	text: autoDraw = True
20.1985 	EXP 	New trial (rep=2, index=1): <Trial 15 (1 in rep 2) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 15, 'thisTrialN': 1, 'thisRepN': 2}>
20.2015 	DATA 	Keypress: t
20.2136 	EXP 	fixation: autoDraw = False
20.2136 	EXP 	text: autoDraw = False
20.2136 	EXP 	text: height = 0.05
20.2136 	EXP 	text: height = 0.05
20.2136 	EXP 	text: height = 0.05
20.2136 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
20.2136 	EXP 	fixation: autoDraw = True
21.1972 	INFO 	Keyboard events cleared
21.1971 	EXP 	text: autoDraw = True
21.2145 	EXP 	fixation: autoDraw = False
23.1964 	EXP 	text: autoDraw = False
