reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,17,3,2,l,0.41323879995616153,None,2,3,17,3,63.42071119998582,,63.409336299984716,63.42071119998582,64.42095120000886,64.42095120000886,64.42095120000886,64.83857039996656,l,0.41323879995616153,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
15,35,13,18,4,2,l,0.38435950002167374,None,2,4,18,1,64.8536780999857,,64.8418851000024,64.8536780999857,65.8540609999909,65.8540609999909,65.8540609999909,66.25431059999391,l,0.38435950002167374,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
27,50,21,19,5,2,l,0.4305764000164345,None,2,5,19,2,66.26948249997804,,66.2575535000069,66.26948249997804,67.25378159998218,67.25378159998218,67.27045459998772,67.68715750001138,l,0.4305764000164345,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
78,80,162,20,6,2,t,0.3470466999569908,None,2,6,20,6,67.70252299995627,,67.69001500000013,67.70252299995627,68.68622819997836,68.68622819997836,68.70247799996287,69.03647210000781,t,0.3470466999569908,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
11,30,7,21,0,3,l,0.6162572999601252,None,3,0,21,0,69.05187319999095,,69.0395897999988,69.05187319999095,70.03569119999884,70.03569119999884,70.05210639996221,70.65344480000203,l,0.6162572999601252,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
15,35,13,22,1,3,l,0.5177670999546535,None,3,1,22,1,70.66773549997015,,70.65635239996482,70.66773549997015,71.6679790999624,71.6679790999624,71.6679790999624,72.2020491999574,l,0.5177670999546535,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
67,75,119,23,2,3,t,0.4746453000116162,None,3,2,23,5,72.21685189998243,,72.20551419997355,72.21685189998243,73.20195109996712,73.20195109996712,73.21782239997992,73.68482199998107,t,0.4746453000116162,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
78,80,162,24,3,3,t,0.47982489998685196,None,3,3,24,6,73.69968269998208,,73.68776729999809,73.69968269998208,74.6840252999682,74.6840252999682,74.70044399995822,75.16734759998508,t,0.47982489998685196,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
27,50,21,25,4,3,l,0.4890422999742441,None,3,4,25,2,75.18232590000844,,75.17065799998818,75.18232590000844,76.18259539996507,76.18259539996507,76.18259539996507,76.6836040999624,l,0.4890422999742441,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
49,60,89,26,5,3,l,0.443002299987711,None,3,5,26,4,76.69842789997347,,76.68725769995945,76.69842789997347,77.69900849997066,77.69900849997066,77.69900849997066,78.14938359998632,l,0.443002299987711,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
40,55,62,27,6,3,l,0.40364000003319234,None,3,6,27,3,78.16432499996154,,78.15276119997725,78.16432499996154,79.16477309999755,79.16477309999755,79.16477309999755,79.58243049995508,l,0.40364000003319234,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
67,75,119,28,0,4,t,0.3628397000138648,None,4,0,28,5,79.5970604000031,,79.5857149999938,79.5970604000031,80.59758850000799,80.59758850000799,80.59758850000799,80.96536400000332,t,0.3628397000138648,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
15,35,13,29,1,4,l,0.42959109996445477,None,4,1,29,1,80.9800063999719,,80.96890609996626,80.9800063999719,81.98045420000562,81.98045420000562,81.98045420000562,82.41416089999257,l,0.42959109996445477,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
78,80,162,30,2,4,t,0.44711589999496937,None,4,2,30,6,82.42929850000655,,82.41739909996977,82.42929850000655,83.42997479997575,83.42997479997575,83.42997479997575,83.88105540000834,t,0.44711589999496937,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
11,30,7,31,3,4,l,0.5930341999628581,None,4,3,31,0,83.89513359998818,,83.88417839998147,83.89513359998818,84.89589200000046,84.89589200000046,84.89589200000046,85.49629739997908,l,0.5930341999628581,None,,participant 3,001,2024-11-19_16h58.39.619,Delay dfiscounting,2024.2.4,60.06218838792312,2024-11-19 16h58.51.942008 +0530,
