9.1690 	EXP 	New trial (rep=7, index=0): <Trial 7 (0 in rep 7) data={'thisN': 7, 'thisTrialN': 0, 'thisRepN': 7}>
9.1701 	DATA 	Keypress: up
9.1846 	EXP 	grating: autoDraw = False
9.1846 	EXP 	Fixation: autoDraw = False
9.1846 	EXP 	grating: autoDraw = False
9.1846 	EXP 	grating: ori = 0.0
9.1846 	EXP 	Fixation: autoDraw = True
10.1682 	INFO 	Keyboard events cleared
10.1677 	EXP 	grating: autoDraw = True
10.1841 	EXP 	Fixation: autoDraw = False
10.4674 	EXP 	grating: autoDraw = False
10.5527 	EXP 	New trial (rep=8, index=0): <Trial 8 (0 in rep 8) data={'thisN': 8, 'thisTrialN': 0, 'thisRepN': 8}>
10.5540 	DATA 	Keypress: up
10.5668 	EXP 	Fixation: autoDraw = False
10.5668 	EXP 	grating: autoDraw = False
10.5668 	EXP 	grating: ori = -2.0
10.5668 	EXP 	Fixation: autoDraw = True
11.5679 	INFO 	Keyboard events cleared
11.5672 	EXP 	Fixation: autoDraw = False
11.5672 	EXP 	grating: autoDraw = True
11.8013 	EXP 	New trial (rep=9, index=0): <Trial 9 (0 in rep 9) data={'thisN': 9, 'thisTrialN': 0, 'thisRepN': 9}>
11.8023 	DATA 	Keypress: up
11.8167 	EXP 	Fixation: autoDraw = False
11.8167 	EXP 	grating: autoDraw = False
11.8167 	EXP 	grating: ori = 4.0
11.8167 	EXP 	Fixation: autoDraw = True
12.8169 	INFO 	Keyboard events cleared
12.8165 	EXP 	Fixation: autoDraw = False
12.8165 	EXP 	grating: autoDraw = True
13.0513 	EXP 	New trial (rep=10, index=0): <Trial 10 (0 in rep 10) data={'thisN': 10, 'thisTrialN': 0, 'thisRepN': 10}>
13.0524 	DATA 	Keypress: up
13.0662 	EXP 	Fixation: autoDraw = False
13.0662 	EXP 	grating: autoDraw = False
13.0662 	EXP 	grating: ori = -2.0
13.0662 	EXP 	Fixation: autoDraw = True
14.0666 	INFO 	Keyboard events cleared
14.0661 	EXP 	Fixation: autoDraw = False
14.0661 	EXP 	grating: autoDraw = True
14.3008 	EXP 	New trial (rep=11, index=0): <Trial 11 (0 in rep 11) data={'thisN': 11, 'thisTrialN': 0, 'thisRepN': 11}>
14.3019 	DATA 	Keypress: up
14.3161 	EXP 	Fixation: autoDraw = False
14.3161 	EXP 	grating: autoDraw = False
14.3161 	EXP 	grating: ori = 2.0
14.3161 	EXP 	Fixation: autoDraw = True
15.3167 	INFO 	Keyboard events cleared
15.3162 	EXP 	Fixation: autoDraw = False
15.3162 	EXP 	grating: autoDraw = True
15.6157 	EXP 	grating: autoDraw = False
15.6168 	EXP 	New trial (rep=12, index=0): <Trial 12 (0 in rep 12) data={'thisN': 12, 'thisTrialN': 0, 'thisRepN': 12}>
15.6180 	DATA 	Keypress: down
15.6323 	EXP 	Fixation: autoDraw = False
15.6323 	EXP 	grating: autoDraw = False
15.6323 	EXP 	grating: ori = 0.0
15.6323 	EXP 	Fixation: autoDraw = True
16.6319 	INFO 	Keyboard events cleared
16.6314 	EXP 	Fixation: autoDraw = False
16.6314 	EXP 	grating: autoDraw = True
16.9158 	EXP 	New trial (rep=13, index=0): <Trial 13 (0 in rep 13) data={'thisN': 13, 'thisTrialN': 0, 'thisRepN': 13}>
16.9170 	DATA 	Keypress: down
16.9313 	EXP 	grating: autoDraw = False
16.9313 	EXP 	Fixation: autoDraw = False
16.9313 	EXP 	grating: autoDraw = False
16.9313 	EXP 	grating: ori = 0.0
16.9313 	EXP 	Fixation: autoDraw = True
17.9314 	INFO 	Keyboard events cleared
17.9309 	EXP 	Fixation: autoDraw = False
17.9309 	EXP 	grating: autoDraw = True
18.2306 	EXP 	grating: autoDraw = False
18.3149 	EXP 	New trial (rep=14, index=0): <Trial 14 (0 in rep 14) data={'thisN': 14, 'thisTrialN': 0, 'thisRepN': 14}>
18.3161 	DATA 	Keypress: down
